#EDL	Date	14.6.2024	Local Time	16:32:56		
Rate (Hz)	StonyBrook	Stony Brook gauge array																																			
128	element_1	element_1				element_4				element_9				element_10				element_11				element_12				element_13				element_14				element_15			
Time	Position	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge
s	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m
07:18:11.766	0.00035437	0.36758423	0.29541016	-0.00003052	-0.00005919	0.42196655	0.34082031	-0.00234985	-0.00048294	0.24511719	0.25000000	0.06591797	0.00068045	0.18612671	0.18994141	0.05020142	0.00017484	0.30288696	0.30957031	0.08255005	-0.00027315	0.14108276	0.14550781	0.03939819	-0.00113309	0.18865967	0.19238281	0.05072021	-0.00026793	0.32778931	0.33447266	0.08724976	-0.00031406	0.10614014	0.10791016	0.02752686	-0.00074388
07:18:11.773	0.00035437	0.36773682	0.29589844	-0.00006104	0.00004209	0.42199707	0.34130859	-0.00238037	-0.00046520	0.24505615	0.25000000	0.06591797	0.00062003	0.18600464	0.18994141	0.05020142	0.00004840	0.30288696	0.30957031	0.08255005	-0.00027315	0.14105225	0.14501953	0.03942871	-0.00117385	0.18869019	0.19238281	0.05068970	-0.00022851	0.32781982	0.33447266	0.08721924	-0.00029138	0.10650635	0.10791016	0.02746582	-0.00008495
07:18:11.781	0.00035437	0.36776733	0.29589844	-0.00003052	0.00006234	0.42205811	0.34179688	-0.00231934	-0.00042971	0.24505615	0.25000000	0.06591797	0.00062003	0.18585205	0.18945313	0.05017090	-0.00010965	0.30288696	0.30957031	0.08255005	-0.00027315	0.14108276	0.14501953	0.03939819	-0.00113309	0.18865967	0.19238281	0.05072021	-0.00026793	0.32781982	0.33447266	0.08728027	-0.00029138	0.10623169	0.10791016	0.02749634	-0.00057915
07:18:11.789	0.00035437	0.36785889	0.29638672	0.00000000	0.00012311	0.42208862	0.34130859	-0.00228882	-0.00041197	0.24499512	0.24951172	0.06591797	0.00055961	0.18572998	0.18945313	0.05017090	-0.00023609	0.30291748	0.30957031	0.08258057	-0.00024828	0.14108276	0.14501953	0.03939819	-0.00113309	0.18865967	0.19238281	0.05072021	-0.00026793	0.32781982	0.33447266	0.08721924	-0.00029138	0.10632324	0.10839844	0.02752686	-0.00041442
07:18:11.797	0.00035437	0.36795044	0.29589844	0.00003052	0.00018387	0.42214966	0.34130859	-0.00228882	-0.00037648	0.24490356	0.24951172	0.06588745	0.00046897	0.18560791	0.18945313	0.05017090	-0.00036253	0.30291748	0.30957031	0.08251953	-0.00024828	0.14108276	0.14501953	0.03939819	-0.00113309	0.18865967	0.19238281	0.05072021	-0.00026793	0.32785034	0.33447266	0.08724976	-0.00026871	0.10644531	0.10791016	0.02746582	-0.00019477
07:18:11.805	0.00035437	0.36801147	0.29589844	0.00003052	0.00022438	0.42221069	0.34179688	-0.00234985	-0.00034100	0.24478149	0.24951172	0.06588745	0.00034813	0.18545532	0.18945313	0.05007935	-0.00052057	0.30294800	0.31005859	0.08261108	-0.00022342	0.14114380	0.14550781	0.03939819	-0.00105156	0.18869019	0.19238281	0.05075073	-0.00022851	0.32785034	0.33447266	0.08724976	-0.00026871	0.10629272	0.10791016	0.02749634	-0.00046933
07:18:11.813	0.00035437	0.36807251	0.29638672	0.00003052	0.00026489	0.42227173	0.34179688	-0.00228882	-0.00030551	0.24468994	0.24951172	0.06591797	0.00025750	0.18530273	0.18896484	0.05010986	-0.00067862	0.30294800	0.30957031	0.08255005	-0.00022342	0.14120483	0.14550781	0.03939819	-0.00097004	0.18869019	0.19238281	0.05075073	-0.00022851	0.32781982	0.33447266	0.08721924	-0.00029138	0.10635376	0.10791016	0.02749634	-0.00035951
07:18:11.820	0.00035437	0.36810303	0.29589844	0.00000000	0.00028515	0.42227173	0.34179688	-0.00228882	-0.00030551	0.24456787	0.24951172	0.06585693	0.00013665	0.18515015	0.18945313	0.05007935	-0.00083667	0.30294800	0.30957031	0.08255005	-0.00022342	0.14114380	0.14550781	0.03939819	-0.00105156	0.18869019	0.19189453	0.05075073	-0.00022851	0.32781982	0.33447266	0.08728027	-0.00029138	0.10626221	0.10791016	0.02746582	-0.00052424
07:18:11.828	0.00035437	0.36816406	0.29638672	0.00000000	0.00032566	0.42236328	0.34179688	-0.00231934	-0.00025228	0.24447632	0.24902344	0.06582642	0.00004602	0.18502808	0.18896484	0.05007935	-0.00096310	0.30291748	0.30957031	0.08258057	-0.00024828	0.14123535	0.14501953	0.03942871	-0.00092927	0.18865967	0.19238281	0.05072021	-0.00026793	0.32778931	0.33447266	0.08724976	-0.00031406	0.10635376	0.10791016	0.02749634	-0.00035951
07:18:11.836	0.00035437	0.36819458	0.29687500	-0.00003052	0.00034591	0.42239380	0.34179688	-0.00228882	-0.00023454	0.24438477	0.24902344	0.06585693	-0.00004461	0.18493652	0.18896484	0.05004883	-0.00105793	0.30297852	0.30957031	0.08258057	-0.00019855	0.14117432	0.14550781	0.03942871	-0.00101080	0.18865967	0.19238281	0.05072021	-0.00026793	0.32781982	0.33447266	0.08721924	-0.00029138	0.10629272	0.10791016	0.02743530	-0.00046933
